a,b,m,n,injection_id,channel_mn,time,current,voltage,polarity
60,61,62,64,1,0,2.202,0.242,30.312,0
60,61,62,64,1,0,2.207,0.242,19.625,0
60,61,62,64,1,0,2.212,0.242,21.125,0
60,61,62,64,1,0,2.217,0.242,26.938,0
60,61,62,64,1,0,2.222,0.242,18.688,0
60,61,62,64,1,0,2.227,0.242,21.312,0
60,61,62,64,1,0,2.232,0.242,22.250,0
60,61,62,64,1,0,2.237,0.242,21.500,0
60,61,62,64,1,0,2.242,0.242,27.500,0
60,61,62,64,1,0,2.247,0.242,20.750,0
60,61,62,64,1,0,2.252,0.242,28.438,0
60,61,62,64,1,0,2.257,0.242,28.062,0
60,61,62,64,1,0,2.262,0.242,24.500,0
60,61,62,64,1,0,2.267,0.242,20.188,0
60,61,62,64,1,0,2.272,0.242,28.250,0
60,61,62,64,1,0,2.277,0.242,18.500,0
60,61,62,64,1,0,2.282,0.242,25.062,0
60,61,62,64,1,0,2.287,0.242,22.625,0
60,61,62,64,1,0,2.292,0.242,28.625,0
60,61,62,64,1,0,2.297,0.242,18.312,0
60,61,62,64,1,0,2.302,0.242,24.688,0
60,61,62,64,1,0,2.307,0.242,19.438,0
60,61,62,64,1,0,2.312,0.242,21.312,0
60,61,62,64,1,0,2.317,0.242,17.375,0
60,61,62,64,1,0,2.322,0.242,24.875,0
60,61,62,64,1,0,2.327,0.242,30.125,0
60,61,62,64,1,0,2.332,0.242,29.938,0
60,61,62,64,1,0,2.337,0.242,30.500,0
60,61,62,64,1,0,2.342,0.242,18.312,0
60,61,62,64,1,0,2.347,0.242,22.062,0
60,61,62,64,1,0,2.352,0.242,21.688,0
60,61,62,64,1,0,2.357,0.242,19.062,0
60,61,62,64,1,0,2.362,0.242,19.250,0
60,61,62,64,1,0,2.367,0.242,27.688,0
60,61,62,64,1,0,2.372,0.242,34.062,0
60,61,62,64,1,0,2.377,0.242,23.375,0
60,61,62,64,1,0,2.382,0.242,18.500,0
60,61,62,64,1,0,2.387,0.242,25.813,0
60,61,62,64,1,0,2.392,0.242,23.000,0
60,61,62,64,1,0,2.397,0.242,21.688,0
60,61,62,64,1,0,2.402,0.242,20.000,0
60,61,62,64,1,0,2.407,0.242,22.438,0
60,61,62,64,1,0,2.412,0.242,17.562,0
60,61,62,64,1,0,2.417,0.242,19.625,0
60,61,62,64,1,0,2.422,0.242,32.750,0
60,61,62,64,1,0,2.427,0.242,19.438,0
60,61,62,64,1,0,2.432,0.242,16.438,0
60,61,62,64,1,0,2.437,0.242,17.000,0
60,61,62,64,1,0,2.442,0.242,27.875,0
60,61,62,64,1,0,2.447,0.243,25.625,0
60,61,62,64,1,0,2.452,0.242,26.188,0
60,61,62,64,1,0,2.457,0.242,21.688,0
60,61,62,64,1,0,2.462,0.242,23.750,0
60,61,62,64,1,0,2.467,0.242,14.750,0
60,61,62,64,1,0,2.472,0.242,32.000,0
60,61,62,64,1,0,2.477,0.242,31.438,0
60,61,62,64,1,0,2.482,0.242,20.750,0
60,61,62,64,1,0,2.487,0.242,20.750,0
