event,event_start,depth_cm,sensor_id,treatment,location,tag,peak_time,peak_vwc,tail_hours,n_samples,exp_A,exp_tau_h,exp_C,exp_r2,pow_A,pow_alpha,pow_C,pow_r2
62,1.7595441e+18,10,SMS01,swale,SwB,slope,1.75956e+18,0.442,99.5,1195,0.08126652092918911,465.981670240027,0.35922835083262505,0.6003153572548129,0.4486369480598199,0.010198512196036657,1.0907759422495859e-17,0.527218396040908
63,1.7599257e+18,10,SMS01,swale,SwB,slope,1.7599413e+18,0.43,113.83333333333334,1367,0.4272078178300779,5275.1476852485575,9.572134048463636e-21,0.35753705230446087,0.4317076900008109,0.005669302573706829,5.142857718755835e-10,0.2716699564478363
65,1.7603955e+18,10,SMS01,swale,SwB,slope,1.760457e+18,0.439,12.583333333333332,152,0.011101095483336147,6.335219347536129,0.42928378966415043,0.9641915236283249,0.43904767550855406,0.0072773601419290485,0.0002351607415674433,0.9002039832490775
71,1.760841e+18,10,SMS01,swale,SwB,slope,1.7608854e+18,0.453,13.833333333333332,167,0.04337669678230606,41.265114007759514,0.4111336761722394,0.9765016709490962,0.454791636268268,0.008793324224602463,3.7348766185867736e-9,0.811222322338834
73,1.7610255e+18,10,SMS01,swale,SwB,slope,1.7610924e+18,0.468,167.91666666666666,2016,0.03903746492026817,81.12857509117,0.4211052982179864,0.9535936818107209,0.4778111083953501,0.02131807046231515,3.743728690181325e-19,0.8904355718961772
74,1.7623863e+18,10,SMS01,swale,SwB,slope,1.7624376e+18,0.434,22.666666666666668,273,0.012856669821971315,11.53112602997676,0.4232523022749123,0.9087530122119385,0.4361877894223338,0.007764268805480952,0.00001031607267835399,0.8041288491756781
75,1.7625267e+18,10,SMS01,swale,SwB,slope,1.762536e+18,0.438,167.91666666666666,2016,0.019139355518405562,108.1093014441606,0.4170461034243631,0.6471299504630349,0.44439365307126094,0.009801305042079465,1.3082822097853562e-12,0.5891541426856922
79,1.7634321e+18,10,SMS01,swale,SwB,slope,1.7634522e+18,0.471,84.08333333333334,1010,0.037645955220104395,36.57975711364091,0.4341428132679065,0.9064523543655407,0.4818208923126911,0.020566220243028843,3.1321443651153974e-19,0.8128077924308721
84,1.7639622e+18,10,SMS01,swale,SwB,slope,1.7639826e+18,0.455,110.25,1324,0.05202107205550967,138.30599977866328,0.40167067123166017,0.9280138457664323,0.46760696113873484,0.017918459798067332,7.889465473908498e-19,0.7977662956997339
86,1.7644239e+18,10,SMS01,swale,SwB,slope,1.7644635e+18,0.463,50.916666666666664,612,0.05935238578621952,99.8231217178688,0.4049620696810432,0.9317555666513295,0.4714669804376332,0.014677306215048954,8.785568003986962e-20,0.7628545495032225
88,1.7647029e+18,10,SMS01,swale,SwB,slope,1.7647245e+18,0.45,15.416666666666666,186,6.56633801511832e-9,9999.481405484376,0.4480698630296698,-8.428184816722251e-10,0.001269851509971196,1.0098175506580862,0.4477455775817505,0.14040329886635172
89,1.7647875e+18,10,SMS01,swale,SwB,slope,1.7647968e+18,0.459,21.083333333333336,254,0.014298843502587573,3.3409793213270915,0.44807424174079163,0.8531546612882898,0.022228870500039324,0.2173390032217287,0.43602406629931956,0.7380420857782232
91,1.7649243e+18,10,SMS01,swale,SwB,slope,1.7649417e+18,0.449,167.91666666666666,2016,0.05388789068052921,194.10894491058332,0.39382742179935654,0.9355887316451927,0.46583628592296156,0.019460998056306345,3.2959757018154383e-18,0.7945918467459789
92,1.7659152e+18,10,SMS01,swale,SwB,slope,1.7659899e+18,0.423,167.91666666666666,2016,0.013196895758274362,51.06841798023012,0.40565197876976256,0.5022523580126462,0.4241206631960615,0.008482034256726119,6.505833243898152e-11,0.49773294546623825
93,1.769319e+18,10,SMS01,swale,SwB,slope,1.7693706e+18,0.461,167.91666666666666,2016,0.04065006802927422,67.3049727778191,0.41263676653065845,0.8989114124532481,0.4713477447560343,0.023626451660978636,4.451684447070168e-13,0.8499845637632706
1,1.7177103e+18,10,SMS08,swale,SwF,far,1.7177898e+18,0.1161195399999999,167.91666666666666,2016,7.459868353936568e-15,0.5000000000091082,0.11665596183035726,-1.6431300764452317e-14,0.11611441230301812,0.0010500143170395007,0.0010447560755766378,0.007147644731554048
4,1.7202123e+18,10,SMS08,swale,SwF,far,1.7202876e+18,0.1395487,167.91666666666666,2015,0.039654271107854404,346.5764696132525,0.10002114177346137,0.980693466880768,0.14848673853201122,0.02957229785816961,2.921540541838836e-14,0.769554159167823
8,1.7231418e+18,10,SMS08,swale,SwF,far,1.7231805e+18,0.2370279700000001,13.416666666666666,162,0.23714344422229178,88.77414628415954,3.261004608102488e-13,0.9957691126802874,0.2381265079208555,0.047099978970747705,9.020347442737371e-13,0.8228743036695877
9,1.7232363e+18,10,SMS08,swale,SwF,far,1.7232768e+18,0.29490265,15.666666666666666,189,0.052432294303977556,12.947659113013223,0.24179622391111408,0.9977974942947155,0.2943410228077556,0.042967451628363844,5.80593522257329e-21,0.9159013309164784
10,1.7233407e+18,10,SMS08,swale,SwF,far,1.7233614e+18,0.2975403700000001,167.91666666666666,2016,0.12952372670482654,72.79454424967815,0.15854312234272816,0.9900349700178871,0.3534429685464893,0.1287690347560199,2.0070977541645003e-15,0.8699080925159941
12,1.7255781e+18,10,SMS08,swale,SwF,far,1.7256237e+18,0.18252802,167.91666666666666,2016,0.025625468176194266,135.8022899528596,0.1555547172698017,0.9358534279041513,0.19158656009543162,0.028630450016754478,1.161096882228434e-19,0.8209702204823277
20,1.7289927e+18,10,SMS08,swale,SwF,far,1.729026e+18,0.31359943,78.91666666666667,948,0.11938565884831691,49.09396179206853,0.1966006523425829,0.9907756808714184,0.35010156500079986,0.09347530281866921,1.0220017244769614e-12,0.8433612575770626
21,1.7293176e+18,10,SMS08,swale,SwF,far,1.7293398e+18,0.32283145,167.91666666666666,2015,0.15187497448710993,88.39416382802877,0.17029213809324686,0.995241714968681,0.39613260429626596,0.12462270807359048,2.797732694057876e-15,0.8450702555854288
25,1.7305929e+18,10,SMS08,swale,SwF,far,1.7306313e+18,0.2132497,167.91666666666666,2016,0.03249046841763625,116.39268278805818,0.17909634125783416,0.8439206573332547,0.22592946727753244,0.03413252239167946,7.960835232534188e-19,0.7661918669075931
29,1.7316243e+18,10,SMS08,swale,SwF,far,1.7316447e+18,0.34827769,12.0,145,0.0511775752057028,14.109525401422873,0.3013136147787598,0.924624586191402,0.3509953465252354,0.028098622390601118,4.063693016618281e-13,0.7862979163427193
30,1.7316954e+18,10,SMS08,swale,SwF,far,1.7316978e+18,0.3291542200000002,28.75,346,0.32785411497900835,338.32926388678504,1.792732845006873e-15,0.6805548745637886,0.3316337825620184,0.022368240589830116,6.247623990188568e-13,0.4576882768318855
31,1.7318088e+18,10,SMS08,swale,SwF,far,1.731828e+18,0.3349727200000001,167.91666666666666,2016,0.13224284089168523,91.50746205991054,0.19551065449689203,0.99563304024551,0.39180369213976385,0.10404908103525132,7.781381813840296e-16,0.8637684615158462
32,1.7326116e+18,10,SMS08,swale,SwF,far,1.732698e+18,0.3577036600000001,69.16666666666667,831,0.08292232248476218,21.886315700448687,0.28521335922349234,0.9822335645254257,0.3840749918140764,0.06594778478133508,7.040447430513066e-15,0.8992232807054503
33,1.7329545e+18,10,SMS08,swale,SwF,far,1.7330217e+18,0.3867185799999999,167.91666666666666,2016,0.2025676532095583,85.768515698517,0.2042040381764201,0.9830164732198267,0.4977468067383024,0.12989597254963522,1.3642589816922202e-15,0.781962040649204
38,1.7340993e+18,10,SMS08,swale,SwF,far,1.7341038e+18,0.3460278700000001,167.91666666666666,2016,0.10733015791016332,59.318571675549,0.23335455286321222,0.9948506910838544,0.39041394012944003,0.09098062540303335,2.7343540047454243e-18,0.9024556976540759
39,1.7352846e+18,10,SMS08,swale,SwF,far,1.7353254e+18,0.2019230200000001,47.08333333333333,566,0.17507774643107002,5884.3907498505105,0.02641488985780387,0.28426435509413284,0.19976734879612143,0.0019105682489339636,0.0021244471531058316,0.21147648697819899
